"intStatusID","intProjectID","memStatus","datUpdate"
891,80,"BCAL not responding to status  requests.   ","8/7/2001"
892,80,"Email sent to BCALC requesting   status update.   ","10/23/2001"
893,80,"This project is assigned to Mark Harvey from Bill Hubbard.  Follow up with Mark - note that Min of Water, Land & Air must   now approve TACS.   ","10/24/2001"
894,80,"Project was assigned to Mark  Harvey (formerly B. Hubbard)  Follow up with Mark   - note that Min of Water, Land & Air must  now  approve TACS.   ","11/23/2001"
895,80,"Awaiting confirmation from Mark  Harvey that this project was assigned to him  during the restructuring of the provincial  ministries.   ","4/8/2002"
896,80,"Awaiting info from Mike McCammon   from LAWB as to application status.   ","4/11/2002"
897,80,"Mike McCammon has indicated that SCH will seek approval from CEMC to amend the Plan as submitted. Any further project planning will be actioned Sep/Oct. ","8/9/2002"
900,81,"Letter forwarded to BCL  requesting status update on TAC application.    ","8/14/1998"
901,81,"Fax rec'd from BCL - copy of letter to  Reg Mack dated Oct 7/97.  Our TAC application was   returned with that letter pending fed/prov.  agreement.   ","8/19/1998"
902,81,"3rd party application  submitted to BCAL requesting portion of fed.  reserve be deleted which they have applied for.   Awaiting comments from SCHB.   ","9/24/1999"
903,81,"Discussed referral with  Brian.  He advised me to hold off on responding to  BCAL pending further review of this matter.   ","9/29/1999"
904,81,"Sent letter to BCAL  requesting an additional 30 days to respond to  matter of 3rd party application.   ","9/30/1999"
905,81,"BCAL granted a 30 day extension   - expires October 30, 1999.   ","10/4/1999"
906,81,"Brian telephoned to advise that  SCHB willing to relinquish fill area to Prov. on  condition that CNC agree to an easement  againtst   their title.   ","10/14/1999"
907,81,"Brian tel.'d to advise that  SCHB willing to relinquish fill area  on condition  that Prov. agree to put easement on CNC's title   extinguishing rip. right.   ","10/14/1999"
908,81,"Dealing with Keith Anderson,  Senior Land Officer at BCAL in respect to riparian  rights issue.   ","11/25/1999"
909,81,"Letter sent directly to CNC  Restaurant in order to commence negotiations in  respect to deletion of fill area required by CNC.   Awaiting response.   ","2/7/2000"
910,81,"Letter sent directly to CNC  Restaurant in order to commence negotiations in  respect to deletion of fill area required by CNC.   Awaiting response.   ","2/25/2000"
911,81,"Awaiting response from CNC  Restaurant as to additional area required for  moorage.  BCAL have agreed to easement agreement.   ","3/6/2000"
912,81,"Dave Bazett, Surveyor has  discussed the riparian easement issue with Gordon   Smaill and CNC - He to contact Brian as to  proposal.   ","3/14/2000"
913,81,"NO ACTIVE SSA.  Dave Bazett,  Surveyor has discussed the riparian easement issue  with Gordon Smaill and CNC - He to contact Area  chief as to proposal   ","9/5/2000"
914,81,"Funding from 699200.  Dave  Bazett, Surveyor has discussed the riparian  easement issue with Gordon Smaill and CNC - He to   contact Area chief   ","10/3/2000"
915,81,"Funding from 699200.   ","10/10/2000"
916,81,"The originally submitted TAC area   will be amended when the deletion of a portion of   this waterlot is effected.   This TAC will be   ","4/2/2001"
917,81,"Awaiting processing of TAC. (Note:   'relinquished' area surveyed out of TAC area).   ","5/10/2001"
918,81,"TAC application area will be  amended (reduced) at time of processing of TACs by  BCAL.   ","8/7/2001"
919,81,"Processing of this TAC is  dependant upon BCAL's agreement to accept TAC to  Province over portion of DL 252.   ","10/23/2001"
920,81,"BCALC wrote to PWGSC advising   changes to the Land Act have deemed TAC's  unnecessary unless a requirement for it can be  demonstrated (copied to SCHB).   ","12/21/2001"
921,81,"No progress on the TAC to date.   ","4/8/2002"
922,81,"   ","6/13/2002"
923,81,"LAWBC not taking on TACs to feds at this time (Email KA/LAWBC to LS/PWGSC). ","8/13/2002"
924,82,"Letter sent to B.C. Lands requesting  an update on status of TAC application.    ","8/13/1998"
925,82,"Fax rec'd from BCL attaching letter to  Reg MAck dated Sep. 16/97.  TAC application was  returned with that letter pending fed/prov.  agreement.    ","8/19/1998"
926,82,"Fax rec'd from BCL with copy of letter  from Consultant dated Spe. 16/97.  TAC application  was returned with that letter pending prov/fed.  agreement.     ","8/19/1998"
927,82,"TAC application resubmitted to BCAL to  replace former one.   ","8/9/1999"
928,82,"No response to date.   ","11/25/1999"
929,82,"BCAL not dealing with this project  until Year 2001.   ","3/6/2000"
930,82,"NO ACTIVE SSA THIS YEAR.  BCAL  not dealing with this project until Year 2001.   ","9/5/2000"
931,82,"Project funded by 699200.  BCAL   not dealing with this project until Year 2001.   ","10/4/2000"
932,82,"Awaiting acceptance of TAC by  BCAL.   ","4/2/2001"
933,82,"Awaiting confirmation from BCAL  that TAC application has been accepted into land  system.   ","4/2/2001"
934,82,"BCAL not dealing with TAC.   ","8/7/2001"
935,82,"Request sent to BCAL for status  of this matter.   ","10/23/2001"
936,82,"No response to date.   ","11/23/2001"
937,82,"No progress on the TAC to date.   ","4/8/2002"
938,82,"Awaiting response from Gordon  Smaill to confirm TAC status.   ","4/8/2002"
939,82,"Emailed Mike McCammon to provide a status update on this file.   ","6/13/2002"
940,82,"LAWBC not taking on TACs to feds at this time (Email KA/LAWBC to LS/PWGSC). ","8/13/2002"
942,83,"Dave Thorne confirmed TAC area secures satisfactory tenure.  No further action required.  Project closed.","1/29/1999"
943,84,"Letter sent to BCL requesting status  update on TAC application.    ","8/17/1998"
944,84,"Awaiting instructions from Area Chief   as to whether they wish to proceed with amendment   to existing OIC reserve to exclude Block A.    ","10/1/1998"
945,84,"Letter sent to BC Lands to ensure our   TAC application is 'in the system'.  Also  substituted sketch with amended one showing  location of Blk 'A'.    ","12/16/1998"
946,84,"Response received from BC Assets.   Their office is now dealing with our application.     ","2/1/1999"
947,84,"Awaiting TAC document. ","6/28/1999"
948,84,"Letter sent to BCAL requesting status update on   our application.   ","8/18/1999"
949,84,"Letter receved from BCAL  advising TAC has been accepted into system.  ","9/24/1999"
950,84,"Letter receved from BCAL  advising TAC has been accepted into system but not  considered urgent as there is already an existing   map reserve over the area.   ","9/29/1999"
951,84,"Further letter receved from  BCAL on September 27, 1999 advising we will be  notified once the pricing policy has been  addressed   ","9/29/1999"
952,84,"Letter received from BCAL  advising their office will not deal with our TAC  for a couple of years because of low priority.   ","11/23/1999"
953,84,"Letter received from BCAL  (Nov99 ) advising it will not deal  with our TAC  for a couple of years because of low priority.   ","9/5/2000"
954,84,"Wrote letter to BCAL in  response to their letter of November 17, 1999  requesting an update of our TAC application on  this file.     ","9/25/2000"
955,84,"BCAL replied by letter dated  ","10/11/2000"
956,84,"Letter received from Province  (December 22/00) indicating that a new TAC will  not be issued until policy issues with fed. govt  have been resolved.   ","10/6/2001"
957,84,"BCAL have advised policy issues  need to be resolved prior to dealing with TAC.  (Letter of Dec. 20, 2000).   ","4/2/2001"
958,84,"No further progress with this file.   ","8/7/2001"
959,84,"Request sent to BCAL for status update.   ","10/23/2001"
960,84,"No response to date.   ","11/23/2001"
961,84,"Awaiting response from Val Lowther, BCALC as to status of this file.   ","4/8/2002"
962,84,"Letter sent to Val Lowther requesting a status update on this file.   ","6/13/2002"
963,84,"See LAWBC letter August 9/02 to PWGSC - TAC's not being accepted pending notification by LAWBC. ","8/13/2002"
964,85,"Enquiry of TAC at BC Lands.    ","8/24/1998"
965,85,"Letter sent to BC Lands requesting  status update of TAC application.    ","8/24/1998"
966,85,"Need to confirm new survey is  consistent with TAC application and proceed with  TAC.    ","9/16/1998"
967,85,"SCHB instructions to apply for interim  tenure over additional area according to survey  plan.  Sent application off to BC Lands on 9 December, 1998.    ","12/9/1998"
968,85,"Application submitted on 8 December,  1998 to BC Lands for Map Reserve over surveyed  area, pending approval of TAC.    ","12/11/1998"
969,85,"Interim tenure now in place for  additional areas per survey (5 year map reserve).     ","1/22/1999"
970,85,"Continue to monitor status of TAC  application.   ","6/28/1999"
971,85,"Letter sent to BCAL requesting  status update on TAC application.     ","8/18/1999"
972,85,"Email received from MM  advising VI Region is no longer accepting TAC  apps. and are focusing only on those which create   revenue/jobs in the Province.   ","9/24/1999"
973,85,"NO ACTIVE SSA. Email received   from MM advising VI Region is no longer accepting   TAC apps. and are focusing only on those which  create revenue/jobs in the   ","9/5/2000"
974,85,"Funding from 699200. Email  received from MM advising VI Region is no longer  accepting TAC apps. and are focusing only on those  which create r   ","10/4/2000"
975,85,"Email received from MM advising VI  Region is no longer accepting TAC apps. and are  focusing only on those which create r   ","4/2/2001"
976,85,"Email received from MM advising VI  Region is no longer accepting TAC apps and  focusing only on those which create revenue.   ","4/2/2001"
977,85,"No further progress with this  file.   ","8/7/2001"
978,85,"Request sent to BCAL for  progress update.   ","10/23/2001"
979,85,"This project has been assigned   to Gord Smaill.  Awaiting response from Gord as to  status.   ","10/24/2001"
980,85,"Project assigned to Gord  Smaill.  Awaiting response from Gord.   ","11/23/2001"
981,85,"Awaiting response from Gord Smaill  as to status of TAC.   ","4/8/2002"
982,85,"File was assigned to Doug Berry.    Awaiting response as to status of applic.   ","4/8/2002"
983,85,"Contacted Doug Berry again by email for a status update on this file.   ","6/13/2002"
984,85,"LAWBC not taking on TACs to feds at this time (Email KA/LAWBC to LS/PWGSC). ","8/13/2002"
985,86,"Letter rec'd from BCL advising TAC  will be disallowed until 2002. B. Dane requested  we write request amendment to existing reserve.    ","8/12/1998"
986,86,"Brian Dane advise we should hold file   in abeyance pending ongoing negotiation with  adjacent marina owner over amendment to surveyed  boundaries.    ","9/16/1998"
987,86,"Brian Dane advised we should hold file  in abeyance pending ongoing negotiation with  adjacent marina owner over amendment to surveyed  boundaries.    ","9/18/1998"
988,86,"SSA amended to reduce funding - $431  being returned to SCHB.  File will be held in  abeyance.    ","12/11/1998"
989,86,"Project now inactive - FY 98/99.     ","1/19/1999"
990,86,"Brian has requested a meeting be set  up to discuss this project    ","5/18/1999"
991,86,"Meeting to be arranged with SCHB  regarding strategy on this project.     ","7/5/1999"
992,86,"PROJECT ON HOLD.   ","11/25/1999"
993,86,"NO ACTIVE SSA.  PROJECT ON  HOLD.   ","9/5/2000"
994,86,"File in abeyance pending further  instructions from SCHB.   ","4/2/2001"
995,86,"Request received from SCHB to  investigate tenure for the purpose of acquiring  land.   ","5/28/2001"
996,86,"SCHB to investigate tenure for  the purpose of acquiring land. Project on hold.   ","8/7/2001"
997,86,"Tenure investigation of upland  lot 2001 carried out by PWGSC. Await instructions   from SCHB.   ","8/7/2001"
998,86,"Complex issues surrounding  this site re septic tank and field.  SCHB to  arrange for surveyor to confirm lot boundaries.   ","11/29/2001"
999,86,"Project on hold. ","6/13/2002"
1000,87,"This property is still in the name of   Mrs. O'Neill. Forwarded draft letter addressed to   Gary Larson to Brian Dane requesting his review  and comments.    ","9/18/1998"
1001,87,"Draft letter to Gary Larson ok'd by  Brian Dane.  Forwarded on to Mr. Larson.  Awaiting  response.    ","9/22/1998"
1002,87,"Letter to GL returned to me  'unclaimed'.  May need to locate new address.    ","11/5/1998"
1003,87,"Telephoned Mr. Larson, he has been  away for a while so the letter was returned.  He  advised I resend it and hopefully we can expect a   formal reply.     ","12/11/1998"
1004,87,"Discuss next option with Area Chief    ","6/28/1999"
1005,87,"Need to follow up with another letter   to Mr. Larson. ","7/5/1999"
1006,87,"Discuss follow  up letter with Brian (re Commatae).   ","9/24/1999"
1007,87,"Brian advised that I should  contact Mr. David Bazzett of Bella Coola regarding  this project, also to discuss a similar  acquisition matter re Kelsey Bay.   ","10/7/1999"
1008,87,"Discussed feasibility of  acquiring land through hwys dept with Surveyor  David Bazzett.  Options considered but he did not   receommend positive results.   ","11/25/1999"
1009,87,"Discussed feasibility of  acquiring land through hwys dept with Surveyor  David Bazzett.  Options considered but he did not   recommend  positive results.   ","11/26/1999"
1010,87,"Drafted letter to Gary Larson   for Brian's review.   ","11/26/1999"
1011,87,"Secon letter sent to Gary  Larson enquiring as to whether he would be  interested in selling the property.   ","12/9/1999"
1012,87,"Still awaiting response from Gary   Larson as to whether he is interested in selling  the property.   ","3/6/2000"
1013,87,"NO ACTIVE SSA.  Still awaiting  response from Gary Larson as to whether he is  interested in selling the property.   ","9/5/2000"
1014,87,"Negotiation attempts with owner  have proved unsuccessful.  File in abeyance  pending further instructions from SCHB.   ","4/2/2001"
1015,87,"File in abeyance pending further   instructions from SCHB.   ","8/7/2001"
1016,87,"This site may be converted to   recreational harbour.  Project to remain on hold  pending future plans.   ","11/29/2001"
1017,87,"PROJECT ON HOLD PENDING FUTURE  PLANS FOR SITE DEVELOPMENT.   ","4/8/2002"
1018,87,"Project on hold. ","6/13/2002"
1019,88,"Letter sent to B.C. Lands requesting  an update on status of TAC Application.    ","8/13/1998"
1020,88,"Fax rec'd from BCL attaching copy of  letter to Reg Mack dated Sep. 16/97.  TAC  application returned with that letter pending  fed/prov. agreement.     ","8/19/1998"
1021,88,"Application re-submitted to BCAL to  replace former one.    ","8/9/1999"
1022,88,"TAC application resubmitted to BCAL to  replace former one. ","8/9/1999"
1023,88,"TAC  application resubmitted to BCAL to replace former   one.  No response to date   ","9/29/1999"
1024,88,"TAC application resubmitted to  BCAL to replace former one.  No response to date.   ","11/25/1999"
1025,88,"Awaiting acknowledgement from  BCALC as to our TAC application.     ","3/6/2000"
1026,88,"Letter sent to BCAL requesting  confirmation that TAC application has been entered  into system.   ","8/25/2000"
1027,88,"Sent reminder letter sent to  BCAL requesting confirmation that TAC application   has been entered into system.   ","11/15/2000"
1028,88,"Follow up reminder letter due to  send to BCAL.   ","4/2/2001"
1029,88,"No further progress with this  file.   ","8/7/2001"
1030,88,"Request sent to BCAL for status  of this matter.   ","10/23/2001"
1031,88,"No response to date.   ","11/23/2001"
1032,88,"Awaiting response from Gordon Smaill to confirm TAC status.   ","4/8/2002"
1033,88,"Emailed Mike McCammon to provide a status update on this file.   ","6/13/2002"
1034,88,"LAWBC not taking on TACs to feds at this time (Email KA/LAWBC to LS/PWGSC). ","8/13/2002"
1035,89,"Letter sent to B.C. Lands requesting  an update on status of TAC application.    ","8/13/1998"
1036,89,"Fax rec'd from BCL attaching copy of  letter to Reg Mack dated Sept 16/97.  TAC  application was returned with that letter pending   fed/prov. agreement.     ","8/19/1998"
1037,89,"TAC application resubmitted to BCAL to  replace former one.   ","8/9/1999"
1038,89,"TAC application resubmitted to  BCAL to replace former one.  No response to date.   ","11/25/1999"
1039,89,"Awaiting acknowledgement of our  TAC application from BCAL.     ","3/6/2000"
1040,89,"Letter sent to BCAL requesting  confirmation that TAC application has been entered  into system.   ","8/25/2000"
1041,89,"Sent reminder letter sent to  BCAL requesting confirmation that TAC application   has been entered into system.   ","11/15/2000"
1042,89,"Awaiting confirmation from BCAL  that TAC application has been accepted into land  system.   ","4/2/2001"
1043,89,"No further progress with this  file.   ","8/7/2001"
1044,89,"Request sent to BCAL for status  of this matter.   ","10/23/2001"
1045,89,"No response to date.   ","11/23/2001"
1046,89,"Awaiting response from Gordon  Smaill to confirm TAC status.   ","4/8/2002"
1047,89,"Emailed Mike McCammon to provide a  status update on this file.   ","6/13/2002"
1048,89,"LAWBC not taking on TACs to feds at this time (Email KA/LAWBC to LS/PWGSC). ","8/13/2002"
1049,90,"Sent letter to BC Assets requesting an  update on this file.     ","3/18/1999"
1050,90,"Sent letter to BC Assets requesting an  update on this file.    ","3/18/1999"
1051,90,"Awaiting response from BC Assets as to  status of file.  September 29, 1999 - Awaiting  response from BC Assets as to status of file  (Telephoned on 29 September 1999).   ","6/28/1999"
1052,90,"Discussed with Neil Turner, Land  Officer on this file who submitted our TAC to the   Application Comm. for review.  He will contact me   when he hears back.   ","10/6/1999"
1053,90,"Received letter from BCAL  advising our TAC will not be dealt with by their  office a couple of years because of low priority.   ","11/23/1999"
1054,90,"BCAL advised our TAC will not be  dealt with by their office for a couple of years  because of low priority.   ","3/6/2000"
1055,90,"Application area required by Mr &  Mrs Wood forwarded by Surveyor for response.  Sent  to BCAL for review and comments.   ","5/12/2000"
1056,90,"Funding not yet in place  pending enquiries being made by 3rd party  interest.  SCHB not willing to delete subject  area. Workplan 00/01 being prepared.   ","9/5/2000"
1057,90,"Funding from 699200. Proceed  with TAC reminder letters.     ","10/4/2000"
1058,90,"Letter received from Province  (December 22/00) indicating that a new TAC will  not be issued until policy issues with fed. govt  have been resolved.   ","1/9/2001"
1059,90,"BCAL have advised policy issues  need to be resolved prior to dealing with TAC.  (Letter of Dec. 20, 2000).   ","4/2/2001"
1060,90,"No further progress with this  file.   ","8/7/2001"
1061,90,"Fred Emery, Surveyor for 3rd party interest in harbour called.   ","9/28/2001"
1062,90,"SCHB has formally advised Surveyor that SCHB are not willing to relinquish any part of its reserve to a third party.  Water taxi license already in place   ","10/19/2001"
1063,90,"Request sent to BCAL for status update.   ","10/23/2001"
1064,90,"SCBH has formally informed  Fred Emery, Surveyor that SCHB will not relinquish any part of its reserve.   ","11/14/2001"
1065,90,"Awaiting response from Val Lowther, BCALC as to status of this file.   ","4/8/2002"
1066,90,"Letter sent to Val Lowther requesting a status update on this file.   ","6/13/2002"
1067,90,"See LAWBC letter August 9/02 to PWGSC - TAC's not being accepted pending notification by LAWBC. ","8/13/2002"
1068,91,"Letter sent to B.C. Lands requesting  an update on status of TAC application.    ","8/13/1998"
1069,91,"Fax rec'd from BCL - attaching copy of  letter to Reg Mack dated Sept. 16/97.  TAC  appllication returned with that letter pending  fed/prov. agreement.     ","8/19/1998"
1070,91,"TAC application resubmitted to BCAL to  replace former one. ","8/9/1999"
1071,91,"TAC  application resubmitted to BCAL to replace former   one. No response to date.   ","11/25/1999"
1072,91,"Awaiting acknowledgement of our  TAC application from BCAL.   ","3/6/2000"
1073,91,"Letter sent to BCAL requesting  confirmation that TAC application has been entered  into system.   ","8/25/2000"
1074,91,"Sent reminder letter sent to  BCAL requesting confirmation that TAC application   has been entered into system.   ","11/15/2000"
1075,91,"   ","4/2/2001"
1076,91,"Awaiting confirmation from BCAL  that TAC application has been accepted into land  system.   ","4/2/2001"
1077,91,"No further progress with this  file.   ","8/7/2001"
1078,91,"Request sent to BCAL for status of this matter.   ","10/23/2001"
1079,91,"No response to date.   ","11/23/2001"
1080,91,"Awaiting response from Gordon Smaill to confirm TAC status.   ","4/8/2002"
1081,91,"Emailed Mike McCammon to provide a status update on this file.   ","6/13/2002"
1082,91,"LAWBC not taking on TACs to feds at this time (Email KA/LAWBC to LS/PWGSC). ","8/13/2002"
1083,92,"Negotiating with land owners to secure  easement.    ","8/21/1998"
1084,92,"Stuart Leslie said to hold off for  now.     ","12/22/1998"
1085,92,"Need costs to secure SSA with RCMP.   S. Leslie to give me costs.   ","6/4/1999"
1086,92,"Negotiations ongoing with 3  private landowners for Stat. ROW.  Documents being  revised at DOJ.   ","11/3/1999"
1087,92,"Revised agreements sent to  Pentecostal and Sevko Hajric.  Awaiting appoval  from City of Prince George on Crown's revised  agreement.   ","12/7/1999"
1088,92,"Waiting to hear from G. Cossey -  gridlock with Pentecostal; changes to RCMP  agreement.  Hajric has still not signed.   ","5/25/2000"
1089,92,"Mr. Hajric has retained a  lawyer.  Appraisal being requisitioned.  RCMP have  dealt with Pentecostal - 10K for him to sign  agreement. ","11/2/2000"
1090,93,"Letter sent to BC Lands Aug. 24/98  requesting status of file.    ","8/24/1998"
1091,93,"Letter received from BC Lands  98-09-14; standard letter - no longer processing  applic. for TACs.  Forwarded letter to SCH.    ","9/25/1998"
1092,93,"Letter received from BC Lands  98-09-14. Standard letter - no longer processing  applic. for TACs.  Forwarded letter to SCH.    ","11/24/1998"
1093,93,"Follow up with BC Lands. (quarterly)    ","12/15/1998"
1094,93,"Letter sent to BC Assets on 98-12-15.   (To be followed up quarterly.    ","1/28/1999"
1095,93,"Letter sent to BC Assets on 98-12-15.   (To be followed up quarterly)     ","1/29/1999"
1096,93,"Project Workplan for 1999/2000  completed April 30/99.    ","4/30/1999"
1097,93,"TAC application on hold until 2002.    ","5/19/1999"
1098,93,"TAC application on hold until 2002.   Follow up done with Province June 1999.    ","6/28/1999"
1099,93,"TAC application resubmitted to the  Province July 9/99.   ","7/9/1999"
1100,93,"TAC application resubmitted  to the Province July 9/99.   Followup with  Province October 99.   ","9/20/1999"
1101,93,"Followup done with Province  ","11/1/1999"
1102,93,"Followup done with Province  ","11/1/2000"
1103,93,"Followup done with Province  ","2/24/2000"
1104,93,"Followup done with Province  ","2/24/2000"
1105,93,"Project will continue to be  monitored quarterly.  Funding will be obtained  from Project 699200.   ","2/24/2000"
1106,93,"Followed up with Province on  the status Nov. 2000   ","11/2/2000"
1107,93,"Followed up with Province on  the status Nov. 2001   ","11/19/2001"
1108,93,"Followed up with Province on the  status January 2002. ","1/8/2002"
1109,94,"Letter sent to J. Downing 98-09-08  requesting area that legal tender is required for.    ","9/8/1998"
1110,94,"Letter to BC Lands 98-10-01 requesting  survey plan and license currently in place for BC   Ferries (adjacent area access needed.)    ","11/6/1998"
1111,94,"Followup done with BC Lands 98-12-21.   Reply received and forwarded to SCHB 99-01-18.    ","1/18/1999"
1112,94,"BC Assets state that there has been no  movement in BC Ferries applications.    ","1/28/1999"
1113,94,"BC Assets state that there has been no  movement in BC Ferries applications.  Can we apply  for legal access now?     ","1/28/1999"
1114,94,"Sent Levi Timmermans a copy of area  where we propose to make an application.    ","3/3/1999"
1115,94,"Workpland for 1999/2000 completed  ","4/30/1999"
1116,94,"Workplan for 1999/2000 completed April  30/99    ","4/30/1999"
1117,94,"Confirm tenure area with SCHB and  proceed with application.    ","5/28/1999"
1118,94,"Confirm tenure area with SCHB and  proceed with TAC application.    ","5/28/1999"
1119,94,"Confirm tenure area with SCHB and  proceed with TAC application ","6/28/1999"
1120,94,"  Followup 99-09-15 with BC Lands.  We would like  right-of-way over BC Ferries applic. area and  tenure also over area adjacent to their applic.   ","9/15/1999"
1121,94,"Followup 99-12-02 with BC  Lands.  We would like right-of-way over BC Ferries  applic. area and tenure also over area adjacent to  their applic.   ","12/1/1999"
1122,94,"Followup 99-12-02 with BC  Lands.  We would like right-of-way over BC Ferries  applic. area and tenure also over area adjacent to  their applic  No SSA.   ","9/5/2000"
1123,94,"FProject will continue to be  monitored quarterly.  Funding will be obtained  from Project 699200  ","10/10/2000"
1124,94,"Followup done November 2001.   ","11/19/2001"
1125,94,"Followup done January 2002. ","1/8/2002"
1126,95,"Letter sent to BC Lands requesting  updated status on TAC application.    ","8/27/1998"
1127,95,"Letter sent to BC Lands requesting  updated status on TAC application. (98-08-24)    ","8/31/1998"
1128,95,"On 98-11-24 followed up with Mark  Harvey of Province.  He will update me on status  of TAC application.    ","11/24/1998"
1129,95,"No reply from Province from Nov.  letter.  Followup is necessary.     ","1/29/1999"
1130,95,"H. Gill has notified that DL 2280 is  TC's property.  Discontinue project.    ","2/22/1999"
1131,95,"H. Gill has notified me on 99-02-22  that DL 2280 is TC's.  Discontinue project.    ","2/22/1999"
1132,95,"H. Gill has notified me on 99-02-23  that DL 2280 is SCHB's.  Tenure wanted is Map  Reserve.    ","2/23/1999"
1133,95,"Follow up done with M. Harvey of BC  Assets on 99-03-03.    ","3/3/1999"
1134,95,"Workplan completed for 1999/2000 April  30/99.    ","4/30/1999"
1135,95,"Follow up done in 98/99 fiscal yr.   TAC application on hold pending Provincial  agreement toward Provincial share of the revenue.    ","5/28/1999"
1136,95,"Follow up done in 98/99 fiscal yr.   TAC application on hold pending Provincial  agreement toward Provincial share of the revenue   ","6/28/1999"
1137,95,"Wrote B. Dane Nov. 1/99 - Does   SCHB want our dept. to apply for Map Reserve as  interim tenure?   ","11/1/1999"
1138,95,"Confirming with Province what   issues they have with our TAC appl. and have they   automatically renewed our  Map Reserve?   ","11/19/1999"
1139,95,"Confirming with Province what   issues they have with our TAC appl. and have they   automatically renewed our  Map Reserve?    No  current year SSA   ","9/5/2000"
1140,95,"Confirming with Province  Project will continue to be monitored quarterly.    Funding will be obtained from Project 699200.   ","10/10/2000"
1141,95,"Project monitored minimally.  TAC   held up due to revenue sharing issue, devolution  process, and First Nation Consultation.   ","4/4/2001"
1142,95,"Project monitored minimally.    TAC held up due to revenue sharing issue,  devolution process, and First Nation Consultation   ","11/19/2001"
1143,95,"Followup done with the Province on  TAC application status.   ","5/9/2002"
1144,95,"Reply from Province states that  they are not in a position to take on the TAC to  the Fed. Govt. at this time. ","5/10/2002"
1145,96,"Discuss and review with SCH - tenures   required, review of plans, any updates after Jan.   1995?    ","9/9/1998"
1146,96,"Plans to be given to H. Gill at  99-02-02 meeting.     ","1/29/1999"
1147,96,"TAC over waterlot underlying wharf  facilities (Lot 2119 and 2078.) Lot 296 adjacent  to Lot 2078 to be divested.   ","5/28/1999"
1148,96,"Followup done with Doug Berry  on B. Dane's request for adjustment of crown  foreshore tenure involving WL 2119 and WL 306.   ","9/23/1999"
1149,96,"Received phonecall from Duncan   Williams at Province.  They will not approve  anthing until upland consent (Riparian Easement)  obtained from Lot 13.   ","12/3/1999"
1150,96,"District of Port Hardy is  negotiationg with O'connor (upland owner of Lot 3)    ","1/28/2000"
1151,96,"District of Port Hardy is  negotiationg with O'connor (upland owner of Lot  3).  They will advise us of progress.   ","2/29/2000"
1152,96,"District of Port Hardy is  negotiationg with O'connor (upland owner of Lot  3).  They will advise us of progress.  No current   year SSA   ","9/5/2000"
1153,96,"District of Port Hardy will  advise us of progress of their negotiations with  O'connor.  Project funded under 699200   ","10/10/2000"
1154,96,"District of Port Hardy will advise  us of progress of their negotiations with  O'connor.   Project funded under 699200   ","4/4/2001"
1155,96,"District of Port Hardy will  advise us of progress of their negotiations with  O'connor.   Project funded under 699200   .   ","11/19/2001"
1156,96,"District of Port Hardy negotiating with upland owner O'connor - consent required before TAC will be processed.  Follow up done with District of Pt Hardy ","5/10/2002"
1157,97,"Discuss with SCH their requirements - (same as 1983 application? confirm tenure requirements.)    ","9/9/1998"
1158,97,"Louise and Amelia will discuss TAC application and survey boundaries on plan.    ","11/24/1998"
1159,97,"Plans to be given to H. Gill at 99-02-02 meeting.     ","1/29/1999"
1160,97,"Project included with 840032 - Lot 2078 and 296","5/28/1999"
1161,98,"Letter sent to BC Lands 98-08-27  requesting update re tenure.    ","8/27/1998"
1162,98,"Follow up letter to Province 98-11-24.    ","11/24/1998"
1163,98,"B. Hubbard from Province called.  We  are to deal with Navigable Waters Branch, it is  their jurisdiction.  He will forward me a letter.    ","12/8/1998"
1164,98,"Letter from B. Hubbard received  98-12-11.  Letter forwarded to SCHB 98-12-16.    ","12/16/1998"
1165,98,"H. Gill would like me to approach  Navigable Waters re:  channel.    ","1/19/1999"
1166,98,"Talked to John Mackie at Nav. Waters  (CCG).  He suggests a meeting with myself, H. Gill  & himself to draw up a navigable channel, put on a  chart and file     ","1/20/1999"
1167,98,"Workplan completed for 1999/2000 on  ","4/30/1999"
1168,98,"Tenure matters under for navigational   channel under juris. of Navigable Waters.  Meeting  suggested between SCHB, PWGSC & John Mackie of  Nav. Waters.    ","4/30/1999"
1169,98,"Tenure matters under for navigational   channel under juris. of Navigable Waters.  Meeting  suggested between SCHB, PWGSC & John Mackie of  Nav. Waters   ","6/28/1999"
1170,98,"B. Dane to get in touch with   John Mackie at Navigable Waters re: tenure of some  form.   ","9/20/1999"
1171,98,"B. Dane to get in touch with  John Mackie at Navigable Waters re: tenure of some  form   ","12/2/1999"
1172,98,"B. Dane to get in touch with  John Mackie at Navigable Waters re: tenure of some  form.  No current year SSA   ","9/5/2000"
1173,98,"B. Dane (??)to get in touch  with John Mackie at Navigable Waters re: tenure of  some form. Project funds under 699200.   ","10/10/2000"
1174,98,"Wrote Levi Nov. 21,2000.  Do  they require further assistance from PWGSC on this  file?   ","11/21/2000"
1175,98,"Wrote Levi Nov. 21,2000.  Do they require further assistance from PWGSC on this file? ?   ","11/19/2001"
1176,98,"Project cancelled. ","12/4/2001"
1177,99,"waiting for instruction from SCHB  regarding application for OIC reserve as interim   measure until BC Lands deals with TAC's    ","10/14/1998"
1178,99,"Application to BC Lands for OIC  reserve submitted Oct/98    ","11/25/1998"
1179,99,"Province returned application  requesting further details of application area.    ","1/26/1999"
